GeneID	Symbol	Description	log2(fold change)	-log10(Pvalue)
100996442	LOC100996442	WAS protein family homolog 2-like	0.993	2.908
729737	LOC729737	uncharacterized LOC729737	1.601	5.631
102723897	WASH9P	WAS protein family homolog 9, pseudogene	0.681	1.581
112268260	LOC112268260	uncharacterized LOC112268260	1.515	1.467
100132287	LOC100132287	uncharacterized LOC100132287	1.423	5.806
81399	OR4F16	olfactory receptor family 4 subfamily F member 16	2.522	1.974
100133331	LOC100133331	replaced by ID 100288069	1.366	5.437
107984841	LOC107984841	replaced by ID 100288069	0.795	2.432
107984847	LOC107984847	replaced by ID 100288069	0.998	2.083
107984849	LOC107984849	replaced by ID 100288069	1.329	4.374
100288069	LOC100288069	uncharacterized LOC100288069	1.096	3.834
26155	NOC2L	NOC2 like nucleolar associated transcriptional repressor	-0.654	3.636
339451	KLHL17	kelch like family member 17	-0.732	1.502
84069	PLEKHN1	pleckstrin homology domain containing N1	-2.582	3.415
57801	HES4	hes family bHLH transcription factor 4	-3.417	5.406
9636	ISG15	ISG15 ubiquitin like modifier	-3.761	2.639
375790	AGRN	agrin	-4.395	9.911
54991	C1orf159	chromosome 1 open reading frame 159	-0.913	1.89
126792	B3GALT6	beta-1,3-galactosyltransferase 6	-1.205	4.951
80772	CPTP	ceramide-1-phosphate transfer protein	0.669	2.432
83756	TAS1R3	taste 1 receptor member 3	1.323	1.821
1855	DVL1	dishevelled segment polarity protein 1	-0.618	1.412
55052	MRPL20	mitochondrial ribosomal protein L20	-0.436	2.204
105378586	LOC105378586	uncharacterized LOC105378586	0.982	1.343
984	CDK11B	cyclin dependent kinase 11B	0.512	1.384
728642	CDK11A	cyclin dependent kinase 11A	0.623	1.697
5590	PRKCZ	protein kinase C zeta	0.818	1.351
5192	PEX10	peroxisomal biogenesis factor 10	-0.545	1.339
9651	PLCH2	phospholipase C eta 2	-1.911	3.569
55229	PANK4	pantothenate kinase 4 (inactive)	-0.635	1.936
115110	TNFRSF14-AS1	TNFRSF14 antisense RNA 1	0.642	2.03
8764	TNFRSF14	TNF receptor superfamily member 14	-0.707	2.147
127281	PRXL2B	peroxiredoxin like 2B	-1.191	3.65
100287898	TTC34	tetratricopeptide repeat domain 34	-1.022	1.302
1953	MEGF6	multiple EGF like domains 6	1.936	4.644
105378607	LOC105378607		2.736	1.473
127262	TPRG1L	tumor protein p63 regulated 1 like	1.039	4.876
49856	WRAP73	WD repeat containing, antisense to TP73	1.292	7.337
7161	TP73	tumor protein p73	2.57	3.156
105378610	TP73-AS3	TP73 antisense RNA 3	3.141	2.158
105378609	LOC105378609		4.147	4.861
57212	TP73-AS1	TP73 antisense RNA 1	-1.182	5.607
1677	DFFB	DNA fragmentation factor subunit beta	-0.854	3.963
339448	C1orf174	chromosome 1 open reading frame 174	-0.571	2.454
388591	RNF207	ring finger protein 207	-4.456	8.598
387509	GPR153	G protein-coupled receptor 153	-3.941	7.22
8718	TNFRSF25	TNF receptor superfamily member 25	-4.06	3.829
9903	KLHL21	kelch like family member 21	0.94	1.532
148479	PHF13	PHD finger protein 13	1.327	5.591
55735	DNAJC11	DnaJ heat shock protein family (Hsp40) member C11	-1.117	5.152
9341	VAMP3	vesicle associated membrane protein 3	0.54	3.28
8863	PER3	period circadian regulator 3	-1.228	1.987
3604	TNFRSF9	TNF receptor superfamily member 9	1.22	1.713
54206	ERRFI1	ERBB receptor feedback inhibitor 1	-1.676	1.522
2023	ENO1	enolase 1	0.692	2.538
80045	GPR157	G protein-coupled receptor 157	2.131	4.812
9563	H6PD	hexose-6-phosphate dehydrogenase/glucose 1-dehydrogenase	1.214	6.661
644997	PIK3CD-AS1	PIK3CD antisense RNA 1	1.233	3.08
22883	CLSTN1	calsyntenin 1	-1.336	8.95
23095	KIF1B	kinesin family member 1B	1.636	9.53
105376725	LOC105376725		1.784	4.223
5226	PGD	phosphogluconate dehydrogenase	1.904	24.244
100526739	CENPS-CORT	CENPS-CORT readthrough	1.544	1.748
378708	CENPS	centromere protein S	1.581	1.701
1676	DFFA	DNA fragmentation factor subunit alpha	-0.962	6.671
54897	CASZ1	castor zinc finger 1	1.016	2.177
148345	C1orf127	chromosome 1 open reading frame 127	-2.903	1.555
23435	TARDBP	TAR DNA binding protein	0.63	1.635
10747	MASP2	MBL associated serine protease 2	0.668	1.366
6723	SRM	spermidine synthase	-1.482	7.564
2475	MTOR	mechanistic target of rapamycin kinase	-0.315	1.553
93611	FBXO44	F-box protein 44	-1.369	2.253
57085	AGTRAP	angiotensin II receptor associated protein	0.515	1.756
284498	C1orf167	chromosome 1 open reading frame 167	-0.793	1.546
4524	MTHFR	methylenetetrahydrofolate reductase	-0.688	1.456
1185	CLCN6	chloride voltage-gated channel 6	-0.793	2.445
9927	MFN2	mitofusin 2	0.635	1.935
60672	MIIP	migration and invasion inhibitory protein	0.868	2.413
943	TNFRSF8	TNF receptor superfamily member 8	-2.541	7.922
7133	TNFRSF1B	TNF receptor superfamily member 1B	-1.943	7.121
55187	VPS13D	vacuolar protein sorting 13 homolog D	-0.555	2.357
9249	DHRS3	dehydrogenase/reductase 3	-2.399	2.925
7799	PRDM2	PR/SET domain 2	1.047	4.776
23254	KAZN	kazrin, periplakin interacting protein	3.908	16.312
55092	TMEM51	transmembrane protein 51	-3.008	10.523
114827	FHAD1	forkhead associated phosphopeptide binding domain 1	-1.953	1.739
84301	DDI2	DNA damage inducible 1 homolog 2	-1.073	6.175
6248	RSC1A1	regulator of solute carriers 1	-0.946	2.621
729614	SPEN-AS1	SPEN antisense RNA 1	0.52	1.679
23013	SPEN	spen family transcriptional repressor	-0.545	2.07
54455	FBXO42	F-box protein 42	-0.536	1.574
55707	NECAP2	NECAP endocytosis associated 2	-1.521	10.823
107984921	LINC01772	long intergenic non-protein coding RNA 1772	-1.425	1.627
114819	CROCCP3	CROCC pseudogene 3	-1.418	2.494
105376794	LOC105376794		1.058	2.308
84809	CROCCP2	CROCC pseudogene 2	0.775	1.501
105376805	LOC105376805	uncharacterized LOC105376805	-1.712	1.991
9696	CROCC	ciliary rootlet coiled-coil, rootletin	-1.74	3.879
11240	PADI2	peptidyl arginine deiminase 2	2.086	6.305
23569	PADI4	peptidyl arginine deiminase 4	3.3	13.13
55920	RCC2	regulator of chromosome condensation 2	-0.518	1.896
55160	ARHGEF10L	Rho guanine nucleotide exchange factor 10 like	-4.187	16.47
8659	ALDH4A1	aldehyde dehydrogenase 4 family member A1	1.435	7.917
126917	IFFO2	intermediate filament family orphan 2	-1.504	2.037
23065	EMC1	ER membrane protein complex subunit 1	-0.613	1.635
51154	MRTO4	MRT4 homolog, ribosome maturation factor	-1.076	3.637
832	CAPZB	capping actin protein of muscle Z-line subunit beta	0.335	2.203
255104	TMCO4	transmembrane and coiled-coil domains 4	-0.559	1.79
978	CDA	cytidine deaminase	2.428	11.254
65018	PINK1	PTEN induced kinase 1	0.834	1.906
100861548	PINK1-AS	PINK1 antisense RNA	0.58	1.592
112268222	LOC112268222		0.789	2.972
50809	HP1BP3	heterochromatin protein 1 binding protein 3	0.649	2.091
8672	EIF4G3	eukaryotic translation initiation factor 4 gamma 3	1.27	12.74
105376829	LOC105376829	uncharacterized LOC105376829	1.299	2.176
249	ALPL	alkaline phosphatase, biomineralization associated	5.158	9.133
105376834	LINC02596	long intergenic non-protein coding RNA 2596	5.073	3.377
401944	LDLRAD2	low density lipoprotein receptor class A domain containing 2	-2.787	2.358
998	CDC42	cell division cycle 42	0.492	2.118
2048	EPHB2	EPH receptor B2	-4.199	11.342
23028	KDM1A	lysine demethylase 1A	-0.83	3.963
7798	LUZP1	leucine zipper protein 1	-0.555	1.331
10236	HNRNPR	heterogeneous nuclear ribonucleoprotein R	-0.628	1.881
6920	TCEA3	transcription elongation factor A3	-5.359	5.807
55616	ASAP3	ArfGAP with SH3 domain, ankyrin repeat and PH domain 3	-2.288	2.138
1870	E2F2	E2F transcription factor 2	2.241	4.462
101928163	LOC101928163	uncharacterized LOC101928163	2.506	4.214
6135	RPL11	ribosomal protein L11	-0.78	3.212
11313	LYPLA2	lysophospholipase 2	0.322	1.739
2517	FUCA1	alpha-L-fucosidase 1	-1.633	3.676
1269	CNR2	cannabinoid receptor 2	-2.676	4.092
10772	SRSF10	serine and arginine rich splicing factor 10	0.83	1.862
90529	STPG1	sperm tail PG-rich repeat containing 1	1.909	2.925
11123	RCAN3	RCAN family member 3	-1.183	1.863
25932	CLIC4	chloride intracellular channel 4	-0.954	2.649
864	RUNX3	RUNX family transcription factor 3	-1.345	8.662
107984932	LOC107984932		-2.054	4.064
105376878	RUNX3-AS1	RUNX3 antisense RNA 1	-2.319	6.755
57035	RSRP1	arginine and serine rich protein 1	0.945	4.291
6006	RHCE	Rh blood group CcEe antigens	-0.399	1.515
57134	MAN1C1	mannosidase alpha class 1C member 1	-3.164	14.517
57190	SELENON	selenoprotein N	-0.953	4.813
79000	AUNIP	aurora kinase A and ninein interacting protein	0.906	3.335
3925	STMN1	stathmin 1	2.753	4.399
100500808	MIR3917	microRNA 3917	2.566	3.098
5051	PAFAH2	platelet activating factor acetylhydrolase 2	-0.786	1.792
149420	PDIK1L	PDLIM1 interacting kinase 1 like	1.697	4.521
91544	UBXN11	UBX domain protein 11	-1.465	3.678
1043	CD52	CD52 molecule	-2.349	2.742
55057	CRYBG2	crystallin beta-gamma domain containing 2	1.751	5.759
101928324	DHDDS-AS1	DHDDS antisense RNA 1	1.093	1.648
3151	HMGN2	high mobility group nucleosomal binding domain 2	1.878	3.791
55650	PIGV	phosphatidylinositol glycan anchor biosynthesis class V	0.614	1.482
84243	ZDHHC18	zinc finger DHHC-type palmitoyltransferase 18	1.504	2.887
10726	NUDC	nuclear distribution C, dynein complex regulator	-0.675	4.525
388610	TRNP1	TMF1 regulated nuclear protein 1	-3.199	4.506
23038	WDTC1	WD and tetratricopeptide repeats 1	0.672	2.668
84065	TMEM222	transmembrane protein 222	0.404	1.406
84958	SYTL1	synaptotagmin like 1	1.617	12.667
9064	MAP3K6	mitogen-activated protein kinase kinase kinase 6	-1.013	2.344
27245	AHDC1	AT-hook DNA binding motif containing 1	-1.454	5.625
23673	STX12	syntaxin 12	-1.157	8.882
6118	RPA2	replication protein A2	0.59	1.761
93974	ATP5IF1	ATP synthase inhibitory factor subunit 1	1.124	12.077
83667	SESN2	sestrin 2	2.023	5.811
54797	MED18	mediator complex subunit 18	1.219	5.123
65979	PHACTR4	phosphatase and actin regulator 4	-0.452	2.054
54952	TRNAU1AP	tRNA selenocysteine 1 associated protein 1	0.668	2.249
85028	SNHG12	small nucleolar RNA host gene 12	1.469	4.488
692212	SNORD99	small nucleolar RNA, C/D box 99	2.039	2.162
677825	SNORA44	small nucleolar RNA, H/ACA box 44	1.888	2.595
10691	GMEB1	glucocorticoid modulatory element binding protein 1	0.523	1.39
51102	MECR	mitochondrial trans-2-enoyl-CoA reductase	-0.813	1.633
10076	PTPRU	protein tyrosine phosphatase receptor type U	-1.894	1.999
9672	SDC3	syndecan 3	-3.312	6.365
51538	ZCCHC17	zinc finger CCHC-type containing 17	0.493	1.481
347735	SERINC2	serine incorporator 2	2.648	10.1
3061	HCRTR1	hypocretin receptor 1	0.761	1.636
553115	PEF1	penta-EF-hand domain containing 1	0.808	3.318
8073	PTP4A2	protein tyrosine phosphatase 4A2	-0.59	3.185
55116	TMEM39B	transmembrane protein 39B	-1.063	3.65
56063	TMEM234	transmembrane protein 234	0.629	2.381
55721	IQCC	IQ motif containing C	0.889	1.885
3932	LCK	LCK proto-oncogene, Src family tyrosine kinase	-3.375	3.104
65108	MARCKSL1	MARCKS like 1	-1.437	4.911
81629	TSSK3	testis specific serine kinase 3	0.579	1.956
55108	BSDC1	BSD domain containing 1	0.712	4.559
57648	KIAA1522	KIAA1522	-2.765	8.811
8565	YARS1	tyrosyl-tRNA synthetase 1	-0.411	1.674
64766	S100PBP	S100P binding protein	0.591	1.973
55223	TRIM62	tripartite motif containing 62	-1.094	3.218
149076	ZNF362	zinc finger protein 362	-0.801	2.558
1912	PHC2	polyhomeotic homolog 2	1.095	3.047
100500853	MIR3605	microRNA 3605	1.073	2.1
7579	ZSCAN20	zinc finger and SCAN domain containing 20	-0.922	1.405
58512	DLGAP3	DLG associated protein 3	-1.465	2.059
339488	TFAP2E	transcription factor AP-2 epsilon	0.83	1.672
105378645	TFAP2E-AS1	TFAP2E antisense RNA 1	1.012	2.39
127703	C1orf216	chromosome 1 open reading frame 216	-0.739	1.561
63967	CLSPN	claspin	2.972	3.499
192670	AGO4	argonaute RISC component 4	0.851	6.607
26523	AGO1	argonaute RISC component 1	-0.869	1.63
54936	ADPRS	ADP-ribosylserine hydrolase	-0.674	2.573
1296	COL8A2	collagen type VIII alpha 2 chain	-2.483	8.383
79729	SH3D21	SH3 domain containing 21	1.32	2.368
127700	OSCP1	organic solute carrier partner 1	1.708	3.174
80149	ZC3H12A	zinc finger CCCH-type containing 12A	1.694	2.512
102465438	MIR6732	microRNA 6732	3.098	5.814
29889	GNL2	G protein nucleolar 2	-0.44	1.863
55143	CDCA8	cell division cycle associated 8	3.379	4.897
4520	MTF1	metal regulatory transcription factor 1	1.325	7.887
105378657	LOC105378657	uncharacterized LOC105378657	2.374	1.553
64121	RRAGC	Ras related GTP binding C	0.616	2.525
100527950	GJA9-MYCBP	GJA9-MYCBP readthrough	0.777	2.807
26292	MYCBP	MYC binding protein	0.771	2.765
643314	KIAA0754	replaced by ID 23499	1.67	7.346
8761	PABPC4	poly(A) binding protein cytoplasmic 4	-0.958	3.04
101929516	PABPC4-AS1	PABPC4 antisense RNA 1	-0.992	3.099
677834	SNORA55	small nucleolar RNA, H/ACA box 55	-1.612	3.259
105378951	LOC105378951		1.622	3.571
107985740	LINC02811	long intergenic non-protein coding RNA 2811	1.472	2.243
105378665	LOC105378665		1.467	1.621
54802	TRIT1	tRNA isopentenyltransferase 1	-1.326	6.818
4610	MYCL	MYCL proto-oncogene, bHLH transcription factor	-3.982	11.515
105378668	MYCL-AS1	MYCL antisense RNA 1	-3.936	10.069
84879	MFSD2A	MFSD2 lysolipid transporter A, lysophospholipid	-1.287	2.582
10487	CAP1	cyclase associated actin cytoskeleton regulatory protein 1	0.822	4.636
5538	PPT1	palmitoyl-protein thioesterase 1	-0.365	1.402
107984945	LOC107984945	replaced by ID 64744	-2.398	3.42
65243	ZFP69B	ZFP69 zinc finger protein B	-1.239	1.746
9783	RIMS3	regulating synaptic membrane exocytosis 3	-1.505	2.128
163732	CITED4	Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 4	2.229	8.697
22955	SCMH1	Scm polycomb group protein homolog 1	1.049	1.973
59269	HIVEP3	HIVEP zinc finger 3	-3.549	14.786
4904	YBX1	Y-box binding protein 1	-0.657	2.894
374969	SVBP	small vasohibin binding protein	0.411	1.357
10969	EBNA1BP2	EBNA1 binding protein 2	-0.589	2.158
991	CDC20	cell division cycle 20	3.079	3.598
81888	HYI	hydroxypyruvate isomerase (putative)	0.676	2.118
1802	DPH2	diphthamide biosynthesis 2	-1.217	8.559
533	ATP6V0B	ATPase H+ transporting V0 subunit b	0.435	1.739
8704	B4GALT2	beta-1,4-galactosyltransferase 2	1.63	2.089
149473	CCDC24	coiled-coil domain containing 24	-1.292	1.944
79033	ERI3	ERI1 exoribonuclease family member 3	-0.635	2.575
55182	RNF220	ring finger protein 220	-0.501	1.532
339541	ARMH1	armadillo like helical domain containing 1	2.198	10.385
105378690	LOC105378690	uncharacterized LOC105378690	2.072	4.505
26828	RNU5F-1	RNA, U5F small nuclear 1	1.903	1.608
26830	RNU5D-1	RNA, U5D small nuclear 1	1.892	1.332
11004	KIF2C	kinesin family member 2C	3.348	3.263
8891	EIF2B3	eukaryotic translation initiation factor 2B subunit gamma	-1.495	5.77
4595	MUTYH	mutY DNA glycosylase	-0.899	3.049
10420	TESK2	testis associated actin remodelling kinase 2	0.908	2.89
25974	MMACHC	metabolism of cobalamin associated C	-1.935	12.304
5052	PRDX1	peroxiredoxin 1	-2.077	12.191
10327	AKR1A1	aldo-keto reductase family 1 member A1	-1.106	9.496
149483	CCDC17	coiled-coil domain containing 17	1.121	3.827
60313	GPBP1L1	GC-rich promoter binding protein 1 like 1	0.428	1.404
51249	TMEM69	transmembrane protein 69	-0.913	4.576
3652	IPP	intracisternal A particle-promoted polypeptide	1.613	4.412
23139	MAST2	microtubule associated serine/threonine kinase 2	1.399	9.91
8503	PIK3R3	phosphoinositide-3-kinase regulatory subunit 3	-1.427	1.468
55624	POMGNT1	protein O-linked mannose N-acetylglucosaminyltransferase 1 (beta 1,2-)	-0.841	1.763
8438	RAD54L	RAD54 like	1.799	3.091
148932	MOB3C	MOB kinase activator 3C	-0.738	1.98
9813	EFCAB14	EF-hand calcium binding domain 14	-0.494	1.853
6491	STIL	STIL centriolar assembly protein	2.672	3.617
51727	CMPK1	cytidine/uridine monophosphate kinase 1	-0.598	2.325
54558	SPATA6	spermatogenesis associated 6	-2.105	5.846
112268262	LOC112268262	replaced by ID 11124	1.744	1.594
1031	CDKN2C	cyclin dependent kinase inhibitor 2C	2.301	9.804
26994	RNF11	ring finger protein 11	0.425	1.609
105378720	EPS15-AS1	EPS15 antisense RNA 1	2.217	2.851
114883	OSBPL9	oxysterol binding protein like 9	0.533	2.12
4998	ORC1	origin recognition complex subunit 1	3.178	3.707
84950	PRPF38A	pre-mRNA processing factor 38A	1.102	4.731
23318	TUT4	terminal uridylyl transferase 4	1.138	4.85
2882	GPX7	glutathione peroxidase 7	2.021	2.963
65260	COA7	cytochrome c oxidase assembly factor 7	-0.993	3.819
6342	SCP2	sterol carrier protein 2	0.555	1.373
7804	LRP8	LDL receptor related protein 8	1.089	1.715
107984957	LINC02812	long intergenic non-protein coding RNA 2812	-4.433	9.126
51668	HSPB11	heat shock protein family B (small) member 11	0.883	1.854
115353	LRRC42	leucine rich repeat containing 42	1.239	4.926
23648	SSBP3	single stranded DNA binding protein 3	-1.184	3.312
55001	TTC22	tetratricopeptide repeat domain 22	2.274	4.89
1718	DHCR24	24-dehydrocholesterol reductase	2.551	4.405
7809	BSND	barttin CLCNK type accessory subunit beta	4.25	7.076
255738	PCSK9	proprotein convertase subtilisin/kexin type 9	7.849	11.537
8613	PLPP3	phospholipid phosphatase 3	3.906	8.215
4070	TACSTD2	tumor associated calcium signal transducer 2	3.014	1.321
112268263	LOC112268263	uncharacterized LOC112268263	3.479	3.141
105378751	LOC105378751	uncharacterized LOC105378751	3.819	1.971
3725	JUN	Jun proto-oncogene, AP-1 transcription factor subunit	-0.761	2.163
55277	FGGY	FGGY carbohydrate kinase domain containing	1.12	2.36
83941	TM2D1	TM2 domain containing 1	0.965	3.345
7398	USP1	ubiquitin specific peptidase 1	1.688	3.232
85440	DOCK7	dedicator of cytokinesis 7	-1.728	6.28
84938	ATG4C	autophagy related 4C cysteine peptidase	-0.817	2.101
5236	PGM1	phosphoglucomutase 1	1.681	13.118
55225	RAVER2	ribonucleoprotein, PTB binding 2	1.094	1.952
57708	MIER1	MIER1 transcriptional regulator	1.205	4.007
1647	GADD45A	growth arrest and DNA damage inducible alpha	3.242	10.862
55635	DEPDC1	DEP domain containing 1	3.132	2.608
81573	ANKRD13C	ankyrin repeat domain 13C	-1.22	3.575
11147	HHLA3	HERV-H LTR-associating 3	-1.282	2.462
1491	CTH	cystathionine gamma-lyase	2.602	2.196
100132618	ZRANB2-AS1	ZRANB2 antisense RNA 1	0.729	1.888
9406	ZRANB2	zinc finger RANBP2-type containing 2	0.633	1.702
127253	TYW3	tRNA-yW synthesizing protein 3 homolog	-0.85	1.696
256435	ST6GALNAC3	ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 3	2.307	10.553
10026	PIGK	phosphatidylinositol glycan anchor biosynthesis class K	1.042	1.906
8880	FUBP1	far upstream element binding protein 1	0.718	2.678
10964	IFI44L	interferon induced protein 44 like	-3.952	5.09
10561	IFI44	interferon induced protein 44	-2.96	2.918
2787	GNG5	G protein subunit gamma 5	0.67	2.089
1486	CTBS	chitobiase	0.501	1.553
105378819	LOC105378819	uncharacterized LOC105378819	0.873	2.224
117178	SSX2IP	SSX family member 2 interacting protein	1.027	1.483
255231	MCOLN2	mucolipin TRP cation channel 2	-3.118	4.229
57489	ODF2L	outer dense fiber of sperm tails 2 like	-0.852	2.973
9403	SELENOF	selenoprotein F	-0.523	3.238
9653	HS2ST1	heparan sulfate 2-O-sulfotransferase 1	-1.194	3.62
2635	GBP3	guanylate binding protein 3	-2.415	10.102
2633	GBP1	guanylate binding protein 1	-2.708	2.565
115361	GBP4	guanylate binding protein 4	-3.173	5.027
400759	GBP1P1	guanylate binding protein 1 pseudogene 1	-3.817	3.487
84230	LRRC8C	leucine rich repeat containing 8 VRAC subunit C	-1.828	11.067
400761	LRRC8C-DT	LRRC8C divergent transcript	-2.981	2.461
107985743	LOC107985743	uncharacterized LOC107985743	-2.86	2.109
101927952	LOC101927952		-2.542	3.293
55144	LRRC8D	leucine rich repeat containing 8 VRAC subunit D	-0.686	3.604
8317	CDC7	cell division cycle 7	2.059	3.507
11146	GLMN	glomulin, FKBP associated protein	1.077	1.445
2672	GFI1	growth factor independent 1 transcriptional repressor	3.428	2.262
7813	EVI5	ecotropic viral integration site 5	-0.938	4.451
22823	MTF2	metal response element binding transcription factor 2	0.568	1.556
343099	CCDC18	coiled-coil domain containing 18	0.851	3.437
1810	DR1	down-regulator of transcription 1	0.463	1.588
2730	GCLM	glutamate-cysteine ligase modifier subunit	2.569	8.671
5825	ABCD3	ATP binding cassette subfamily D member 3	0.791	1.6
